ISIB,instructions_image,IAPS_image,ISIA,stimClass,stimClassDesc
2,instructions/attend.png,stimuli/2870.jpg,2,9,Attend_Neutral
2,instructions/attend.png,stimuli/7205.jpg,2,9,Attend_Neutral
2,instructions/attend.png,stimuli/6350.jpg,2,4,Attend_OT
2,instructions/reappraise.png,stimuli/3195.jpg,2,7,Reapp_OD
4,instructions/attend.png,stimuli/2445.jpg,4,9,Attend_Neutral
2,instructions/reappraise.png,stimuli/6560.jpg,4,8,Reapp_OT
2,instructions/attend.png,stimuli/9561.jpg,4,3,Attend_OD
4,instructions/reappraise.png,stimuli/3530.jpg,4,8,Reapp_OT
2,instructions/attend.png,stimuli/9414.jpg,4,4,Attend_OT
4,instructions/attend.png,stimuli/2215.jpg,4,9,Attend_Neutral
4,instructions/reappraise.png,stimuli/6260.jpg,2,6,Reapp_ST
4,instructions/attend.png,stimuli/9830.jpg,2,1,Attend_SD
2,instructions/reappraise.png,stimuli/9322.jpg,4,5,Reapp_SD
2,instructions/attend.png,stimuli/6230.jpg,4,2,Attend_ST
4,instructions/attend.png,stimuli/8230.jpg,2,3,Attend_OD
2,instructions/reappraise.png,stimuli/9341.jpg,4,7,Reapp_OD
4,instructions/attend.png,stimuli/2745.1.jpg,4,9,Attend_Neutral
4,instructions/attend.png,stimuli/2396.jpg,2,9,Attend_Neutral
4,instructions/attend.png,stimuli/1202.jpg,2,2,Attend_ST
4,instructions/attend.png,stimuli/7140.jpg,4,9,Attend_Neutral
2,instructions/attend.png,stimuli/7287.jpg,2,9,Attend_Neutral
4,instructions/reappraise.png,stimuli/9320.jpg,2,5,Reapp_SD
4,instructions/attend.png,stimuli/9302.jpg,2,1,Attend_SD
2,instructions/reappraise.png,stimuli/6210.jpg,4,6,Reapp_ST
