ISIB,instructions_image,IAPS_image,ISIA,stimClass,stimClassDesc
2,instructions/attend.png,stimuli/7184.jpg,2,9,Attend_Neutral
4,instructions/attend.png,stimuli/9413.jpg,2,8,Attend_OT
2,instructions/reappriase.png,stimuli/9420.jpg,4,3,Reapp_OD
2,instructions/attend.png,stimuli/3215.jpg,4,7,Attend_OD
4,instructions/attend.png,stimuli/2745.1.jpg,2,9,Attend_Neutral
2,instructions/attend.png,stimuli/7205.jpg,4,9,Attend_Neutral
4,instructions/attend.png,stimuli/2870.jpg,4,9,Attend_Neutral
4,instructions/attend.png,stimuli/2032.jpg,2,9,Attend_Neutral
4,instructions/attend.png,stimuli/2393.jpg,4,9,Attend_Neutral
4,instructions/attend.png,stimuli/2190.jpg,2,9,Attend_Neutral
2,instructions/attend.png,stimuli/1201.jpg,4,8,Attend_OT
4,instructions/reappriase.png,stimuli/6560.jpg,4,4,Reapp_OT
4,instructions/attend.png,stimuli/6263.jpg,2,6,Attend_ST
2,instructions/reappriase.png,stimuli/1525.jpg,2,2,Reapp_ST
4,instructions/reappriase.png,stimuli/2688.jpg,2,4,Reapp_OT
4,instructions/attend.png,stimuli/3160.jpg,4,7,Attend_OD
2,instructions/reappriase.png,stimuli/3185.jpg,4,3,Reapp_OD
2,instructions/attend.png,stimuli/1202.jpg,2,6,Attend_ST
4,instructions/reappriase.png,stimuli/6250.jpg,4,2,Reapp_ST
2,instructions/attend.png,stimuli/2200.jpg,4,9,Attend_Neutral
2,instructions/attend.png,stimuli/9300.jpg,2,5,Attend_SD
4,instructions/reappriase.png,stimuli/9302.jpg,4,1,Reapp_SD
2,instructions/attend.png,stimuli/1271.jpg,2,5,Attend_SD
2,instructions/reappriase.png,stimuli/1274.jpg,2,1,Reapp_SD
